Type of Travel,Class,Inflight wifi service,Online boarding,Inflight entertainment,satisfaction,mamdani_score,sugeno_score
Personal Travel,Eco Plus,3,3,5,neutral or dissatisfied,51.05295315682276,60.71428571428571
Business travel,Business,3,3,1,neutral or dissatisfied,51.05295315682276,58.33333333333333
Business travel,Business,2,5,5,satisfied,83.66666666666667,75.0
Business travel,Business,2,2,2,neutral or dissatisfied,48.947046843177176,45.0
Business travel,Business,3,5,3,satisfied,83.66666666666667,75.00000000000001
Personal Travel,Eco,3,2,1,neutral or dissatisfied,48.43806646525686,37.5
Personal Travel,Eco,2,2,2,neutral or dissatisfied,48.947046843177176,38.33333333333332
Business travel,Business,4,5,5,satisfied,83.66666666666667,75.0
Business travel,Business,1,3,1,neutral or dissatisfied,44.63039723661485,45.0
Business travel,Eco,3,3,2,neutral or dissatisfied,51.05295315682276,52.77777777777778
Business travel,Eco,4,5,2,neutral or dissatisfied,81.69483568075115,75.0
Personal Travel,Eco Plus,2,2,1,neutral or dissatisfied,48.947046843177176,41.666666666666664
Business travel,Eco,1,1,1,neutral or dissatisfied,40.91767554479425,31.666666666666668
Personal Travel,Eco,4,4,4,satisfied,59.08232445520579,66.66666666666667
Personal Travel,Eco,3,3,2,neutral or dissatisfied,49.999999999999986,50.0
Business travel,Eco,2,2,4,neutral or dissatisfied,48.43806646525686,41.66666666666667
Business travel,Business,3,4,4,satisfied,59.08232445520579,69.44444444444444
Business travel,Business,4,4,5,satisfied,59.08232445520579,72.91666666666667
Business travel,Business,4,4,5,satisfied,59.08232445520579,72.91666666666667
Personal Travel,Eco,2,3,5,neutral or dissatisfied,77.65934065934066,75.0
Business travel,Eco,2,2,2,neutral or dissatisfied,48.947046843177176,41.66666666666666
Personal Travel,Eco,3,3,5,neutral or dissatisfied,77.65934065934066,74.99999999999999
Personal Travel,Eco,3,4,3,neutral or dissatisfied,51.561933534743225,60.714285714285715
Personal Travel,Eco,4,3,4,neutral or dissatisfied,51.561933534743225,60.714285714285715
Business travel,Eco,5,5,1,satisfied,83.66666666666667,75.0
Personal Travel,Eco,4,4,5,neutral or dissatisfied,81.69483568075115,75.0
Business travel,Business,1,5,4,satisfied,83.66666666666667,75.0
Business travel,Eco Plus,4,2,4,satisfied,49.999999999999986,50.0
Business travel,Business,3,2,3,neutral or dissatisfied,51.05295315682276,56.81818181818181
Personal Travel,Eco,3,3,3,neutral or dissatisfied,51.05295315682276,56.81818181818181
Business travel,Business,4,5,5,satisfied,83.66666666666667,75.0
Business travel,Eco,2,2,5,neutral or dissatisfied,22.340659340659336,25.0
Business travel,Business,4,4,3,satisfied,59.08232445520579,69.11764705882354
Personal Travel,Eco,4,4,5,neutral or dissatisfied,81.69483568075115,75.0
Business travel,Business,3,3,1,neutral or dissatisfied,51.05295315682276,58.33333333333333
Business travel,Eco,1,1,1,neutral or dissatisfied,40.91767554479425,31.666666666666668
Business travel,Business,3,4,5,neutral or dissatisfied,59.08232445520579,71.875
Personal Travel,Eco Plus,4,4,2,neutral or dissatisfied,50.00000000000006,50.0
Personal Travel,Eco,4,4,4,satisfied,59.08232445520579,66.66666666666667
Business travel,Business,1,1,1,neutral or dissatisfied,40.91767554479425,35.0
Business travel,Business,4,5,4,satisfied,83.66666666666667,75.0
Business travel,Business,3,3,3,neutral or dissatisfied,51.05295315682276,62.5
Business travel,Business,0,5,4,satisfied,83.66666666666667,75.0
Business travel,Business,3,1,5,satisfied,51.561933534743225,65.0
Business travel,Business,1,5,3,satisfied,83.66666666666667,75.0
Business travel,Business,1,5,5,satisfied,83.66666666666667,75.0
Personal Travel,Business,2,2,4,neutral or dissatisfied,50.00000000000006,50.0
Business travel,Business,1,1,1,neutral or dissatisfied,40.91767554479425,35.0
Business travel,Business,3,2,5,satisfied,51.05295315682276,60.71428571428571
Personal Travel,Eco,2,2,5,neutral or dissatisfied,22.340659340659336,24.999999999999996
Business travel,Eco,2,2,2,neutral or dissatisfied,48.947046843177176,41.66666666666666
Business travel,Business,3,4,4,satisfied,59.08232445520579,69.44444444444444
Business travel,Eco,5,2,5,satisfied,22.340659340659336,25.0
Personal Travel,Eco,2,2,4,neutral or dissatisfied,48.43806646525686,39.285714285714285
Personal Travel,Eco,2,3,4,neutral or dissatisfied,51.561933534743225,58.33333333333332
Business travel,Business,2,5,4,satisfied,83.66666666666667,75.0
Business travel,Business,0,4,5,satisfied,59.08232445520579,68.75
Business travel,Business,5,5,5,satisfied,83.66666666666667,75.0
Business travel,Business,3,3,4,neutral or dissatisfied,51.05295315682276,64.28571428571429
Business travel,Eco,2,2,4,neutral or dissatisfied,48.43806646525686,41.66666666666667
Business travel,Business,2,2,3,neutral or dissatisfied,49.999999999999986,50.0
Business travel,Business,2,4,4,satisfied,59.08232445520579,67.30769230769232
Business travel,Eco,2,2,4,neutral or dissatisfied,48.43806646525686,41.66666666666667
Business travel,Business,3,4,5,satisfied,59.08232445520579,71.875
Business travel,Business,5,4,4,satisfied,59.08232445520579,72.72727272727272
Business travel,Business,3,5,4,satisfied,83.66666666666667,75.0
Personal Travel,Eco,2,2,4,neutral or dissatisfied,48.43806646525686,39.285714285714285
Business travel,Business,2,4,5,satisfied,59.08232445520579,70.45454545454547
Business travel,Eco,2,2,2,neutral or dissatisfied,48.947046843177176,41.66666666666666
Business travel,Eco Plus,4,4,4,satisfied,59.08232445520579,66.17647058823529
Business travel,Business,4,4,5,satisfied,59.08232445520579,72.91666666666667
Business travel,Eco Plus,3,3,3,neutral or dissatisfied,51.05295315682276,56.25
Business travel,Business,2,2,5,neutral or dissatisfied,49.999999999999986,50.0
Personal Travel,Eco Plus,1,1,2,neutral or dissatisfied,48.43806646525686,39.285714285714285
Personal Travel,Eco,3,3,1,neutral or dissatisfied,50.00000000000006,50.0
Business travel,Business,5,5,1,satisfied,83.66666666666667,75.0
Business travel,Business,2,4,2,neutral or dissatisfied,57.627358490566024,56.25000000000001
Personal Travel,Eco,4,4,2,satisfied,50.00000000000006,50.0
Business travel,Eco,4,4,4,neutral or dissatisfied,59.08232445520579,68.33333333333333
