Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression Without Fuzzy,0.840699,0.815732,0.823029,0.819364
Logistic Regression With Fuzzy,0.844164,0.818923,0.828115,0.823494
Decision Tree Without Fuzzy,0.896789,0.91756,0.840393,0.877283
Decision Tree With Fuzzy,0.905528,0.891778,0.893186,0.892482
Random Forest Without Fuzzy,0.925316,0.929317,0.898185,0.913486
Random Forest With Fuzzy,0.925316,0.929317,0.898185,0.913486
XGBoost Without Fuzzy,0.921851,0.926705,0.892572,0.909318
XGBoost With Fuzzy,0.9252,0.929531,0.897659,0.913317
MLP Without Fuzzy,0.9255081613797351,0.9253369272237196,0.9031833727966324,0.9141259486087072
MLP With Fuzzy,0.9255466584539574,0.9289662045845791,0.8991493466631588,0.9138146167557932
